,text,HS
11483,gubernur presiden aniespresiden2019,0
12321,media layak dibaca po al berita khusus bank bank milik negara mengulas seputar ekonomi bisnis keuangan perbankan,0
727,diam buaya,0
3183,berambisi mimin judulnya ih,0
4869,kalo tolol coba tunjukan orang malu,1
644,rpgpedia gubernur jaman now rakyat pilih nomor 1 kamiganjaryasin kandangbant3ng salamnya temannyarpg namakurudy temannyarudy,0
12418,haduhhh haduhhh belajar gembel,0
9398,menganut agama buddha ajaran agama islam kristen hindu konghucu like her parents agama dunia buruk ajaran agama,0
2960,negeri perak sokongan penuh berbelah bahagi kepimpinan perdana menteri dato seri hebatkannegaraku bersamabn datuk seri r s presiden dahulukanrakyat,0
7617,biar biar tai nya kena ya loh suka ahok biar kena tai nya,1
8300,kh ma ruf berbicara belaga budek belaga pilon menyundul gantipresiden2019 goblok kebangetan n t3tapjokowi t3tapjokowi,1
9644,baiknya ai2 koalisi pendukung jokowi menyepakati salah 1 metode cawapres jokowi menugaskan lembaga survei reputasi mengukur tingkat elektabilitas pasangan jokowi serahkan 2 3 teratas,0
11654,gapain pusing goblok nya mengekspose zionisme keparat jgn2 elu yg expose berita kayak gini orang gila yg senangnya mengadudombakan orang,1
10377,gue rakyat indonesia sukarela memberantas cebong komunis,1
10754,detik2 menjelang mendalang semalam suntuk halaman kemendagri 13 april semalam,0
1354,tolak bantuan asing asing,0
9169,alhmdulillah bang hasil polling google kemarin,0
3953,banget kayaknya ratusan puluhan ramai orang kirim tubir adminnya mancing inget debat lgbt pura pura cons eh homophobic benaran dihujat sekar,0
5574,main ah wkwkwk ,0
1894,presiden filipina arah rahib ditahan,0
2822,insyaallah tgk lihat pengalaman kepentingan umat disepelekan 2019gantipresiden,1
12551,pndukung prabowo surat pemberitahuan tahunan arb sda orang orang bejad tabiatnya kasar orang gt gt semoga dilaknat allah,1
4473,ngentot tante oma nsiapakah ,0
4797,samaa kayak tersentuh banget covernya pas gandeng sih kristen rambut palsu kaya finallyyyy he breaks out from his old self and conquer all his fear oiya kak coba tonton into the wild bagus tragis ceritanya,0
1080,puisi kau karya lahir orde menyuarakan suara orang orang te indas gerakan reformasi orde,0
562,dengar ulama mengotot kriminalisasi ulama ya lengserkan jokowi,1
2744,sih banci akun palsu bilang utang pemerintah era,1
2875,cuk bangun bubur tai ayam ga,0
9466,dak lengsernya rezim resta ekonomi bangkrut kalangan ekonomi rubah sistem ekonomi syariat 1 lengser ekonomi,0
9692,cuuyy nih kacrut penyedia,1
6626,terima keputusan presiden pki muncul gebuk,1
11611,bang kumpulan manusia songong mengklaim pintar hebat jaka a gerombolan kretttt nasi bungkus kencing onta,1
10890,botul kali herannya warga jaka a mencari tau dipecat menteri jokowi nanies pecat nbodoh ntolol nfakir ide nmisqeen nalar nsang presiden abs beliau perhatikan si,1
11396,kritik prabowo pemerintahan jokowi produktif blunder simpati dukungan,1
1997,turun langsung lapangan sesungguhnya pantaslah jongos cina duh,1
7506,pemprovsu gencar lakukan sosialisasi mensukseskan pilkada serentak 2018,0
2095,ya robbi tunjukan hamba jalan engkau ridhoi jauhkan hamba godaan setan terkutuk,0
4595,brp ngewe nya e bgtu,0
6984,tugas berat bnn menyadarkan muslim solat ngaji zikir ekstasi,1
3511,bera i sala cebong pintar2 nna sih kreet gimna ndari maju maju otak udang pakai gede badan doank wajarlah petinggi petinggi kret pinda haluan,1
9944,byk pasangan calon bagus krn 2 pasangan calon kecenderungan konflik akar rumput trbuka ttp sadar bhw pt 20 sby brkuasa jd memojokkan koalisi pendukung jkowi bra i mata kakak,0
7668,dewan perwakilan rakyat tekan jokowi jokowi menolak dewan perwakilan rakyat bikin hak angket turunkan jokowi,1
1029,melangkah arah dimana buta warna penghambat si menteri presiden pas bijak,0
3855,kristen nusantara kristen provinsi hkbp gbkp gkps contoh sumut gkj gkp jawa haha pakai doa bahasa unsur budaya masukan haha,0
11370,1 kemarin presiden meninjau bandara ajati bijb jawa barat insyaallah lembut opening mei bandara melayani penerbangan domestik internasional angkutan haji,0
12407,teraweh menyebar spoiler anjir anjir jancuk,0
9024,selfie mandi lihat kelanjutan mak kuli bangunan kekar berotot mengocok kontol mucrat ,0
762,hooo bego hahaha,0
4635,cebong dongok model iq 200 kebanyakan berendam kolam butek ibadah nwong setan makhluk pembangkang ciptaan tuhan shift,1
5361,gue sebal menonton seducer anjir aktingnya pol giliran female pemimpinnya aduh gue berasa lihat kristen stewa twilight ekspresinya aj,0
9720,wedus gembel naku siram air bikin segar,0
11879,kaum homo lesbian banci bela nama ham wanita memakai cadar cerca nama tol,1
8513,liburan kung halaman nekspektasi n nongkrong temen n jalan jalan n main pantai dll nrealita n ganti taplak meja n ganti seprei n ganti seng bocor n ganti kepribadian,0
12493,kabar memek tembem,0
3099,cc 2 periode rakyat phk impo jutaan tka china mending pergi nkri negeri butuh penghianat mengorbankan rakyatnya kepentingan golongannya sndri n 2019prabowopresident08 ,1
282,nek lihat match chelsea sih menang mudah emyu iya embuh sih chelsea kacrut ki diprediksi,1
10253,hadapan ulama rommy alasan ppp dukung jokowi,0
5631,cengeng lu tai ,1
12850,derita nun dirasakan perihnya saudara muslim ummat islam bersaudara bantu mendoakan,0
10462,gak perduli reply ku menyambung 2019gantipresiden 2019gantipresiden 2019gantipresiden 2019gantipresiden 2019gantipresiden 2019gantipresiden 2019gantipresiden 2019gantipresiden 2019gantipresiden 201,1
12494,komentarnya transaksi pakai dollar 2019gantipresiden 2019presidenbaru,1
2850,lg pakai jurus kalajengking mengamuk nsayangnya pakai jurus dongok,0
3155,ganti prabowo kelasnya duta,1
6814,intinya bacot,1
12279,kukira tau wkwkwwk tau pas mencari nama pemain asing sih namanya gak serem horor seru seru,0
3914,kom3 menkumham debat uu pilkada diketok pendekatan presiden mengeluarkan perppu presiden menandatanganinya,0
8278,klo kodok macan asia ya level laaah beda kelasss jauuuh cma orang orang dongoook dungu mengelu elukan kodok sih munafik,1
5528,wasit picek,1
7159,kultural penelitian budaya perangkat metodologis historis fakta  kesimpulan etnologi penelitian perilaku manusia penelitian praktis mikro gt bersifat behavioralistik,0
12047,eh ya membicarakan pacaran beda agama temen gue o unya beda agama keyakinannya masing2 ibunya islam ayahnya kristen bera i,0
6609,ogah presiden kacung orgnya presiden kacung,1
8443,takutnya bajingan minoritas cina negeri mayoritas islam berulang ulang melecehkan ulam,0
3468,koruptor teroris pelanggar ham berat koruptor membunuh rakyat pelan membikin rakyat miskin bodoh kehilangan haknya struktur sistematis rakyat kekurangan gizi kelaparan dpr sibuk korupsi,0
12685,ketemu klien orang batak marah gue ngegas brengsek malu2in kantor,1
8937,mantan nih ah cacad,0
1397,nalar sehat berpikir seburuk menuduh ganjar pranowo membaca puisi anti islam percayaganjaryasin,0
4270,cocot mu zon enggaklah mengoceh karusn,1
4525,jokowi pemimpinnya jokowi lengser indonesia maju apalah mundur 5 maju,1
910,bandel kakek n bokep bokepindo ngentot bokepasian crot bokephot horny sange kontol boobs blowjob milf blondecum filmmalam nontonbokep bokeponline n,0
7222,tolak versi akal akalan rezim diedit sesuai selera klw pki korban dasar komunis,1
1623,sumbangan gaza penyumbang yahudi,0
12951,deklarasi pilihan kepala daerah 2018 aman anti hoaks kepala desa sekecamatan jabon,0
353,papamintaketuafraksi rakyat nya setya novanto dewan perwakilan rakyat pecat ketua dewan perwakilan rakyat pecat dewan perwakilan rakyat,1
9748,fokus rambu jalannya sepe inya terjajah cina rambu jalan pakai bahasa cina,0
2670,banser jaga ulama,0
8615,pembelaannya islam ragu dukung,0
6753,sih orang pintar gila mati matinya mati bersamaan langkah ketua,0
5954,kaga anjir,0
6057,sipit bri,1
10963,next ambil alih raisa tangan asing bani kret kelojotan huekekekek,1
12116,debat anak dikuliahi dibegoin nbajingan orang kayak ya bikin indon sengsara ,1
5397,rezim anti islam zalimi ulama ,1
7060,belajar mencintai budaya kesusastraan,0
11781,bera i bpk dpr dipercaya dunk bubarkan,1
2892,terkutuk menyelewengkan nick queen,1
4616,bani kret pengecut nya gagah berani ahok,1
6237,karyawan pt sopindo ds halimbe deklarasi anti hoax  pilkada 2018 damai,0
9948,melarang ajaran komunisme sisi pemerintah membukakan pintu masuk nya wisatawan komunis besaran negeri,1
7756,rezim anti islam tumbangkan 2019,1
2021,ketemu arief gue sok sokan cuek biar udik ketemu mata gue dikasih senyum uh senyumin cuek,0
12632,,0
3443,kang anj,1
6425,prof katolik indonesia induknya kwi kristen indonesia induknya pgi anggotanya kristen jawa protestan hkbp maranata dll,0
3497,intinya pas kanye koar koar menghentikan melanjutkan menerbitkan peraturan gubernur munafik km dibilang kretos,1
12540,warga baduy selesai memperingati tradisi seba pendopo pemkab lebak dilanjutkan be emu gubernur banten wahidin halim sabtu 21 4 sebabaduy2018 sabtu 21 april 2018,0
8213,dongkrak bonus dealer enak ya kayak ngerakit n n n n npengen beli dongkrak buaya,0
9701,anjir kenapaaa mencret mksdnya,0
8402,bani cabul bodohi sih cabul terbukti cabul kabur terlunta lunta arab,1
6183,jkw jaka a lawan hambalang kisah sinetron cebong kret prediksinggrisjuarapd2018,1
6181,mencairkan suasana membangun komunikasi mengobrol  te awa bareng ngevlog,0
9006,bts ungguli presiden korea selatan polling 100 pembaca majalah time,0
438,bersabar berdoa usaha ikhtiar mudah mudahan bentar 2019gantipresiden pakai contekan pakai planga plongo,1
5523,titit nya bocah,0
1452,subjek kesusasteraan melayu tiada nilai ekonomi,0
5687,jilatin memek,0
8532,closed agency membernya kenal biar asing,0
2107,rp taeyong n nberasa asing,0
1602,ya allah babi dek ngpp maljum giliran gue jaga lilin,0
7871,sih pas diperhatikan warna badannya kontras warna mukanya muka putih badan coklat ni was like mata gue picek bedakan pakai krim pemutih,0
10340,pdi perjuangan targetkan agk ya menang 80 persen tidore strateginya agkya malukuutara agkya3,0
7341,usirdubesmyanmar,1
11500,banci ,1
989,berbicara geblek,1
7762,akibat duk hadiri jamuan raya nih terpaksa main elliptical machine kekal fit bakar kalori nasihat trainer kena kuat sehat lawan rejim zalim ph,0
8219,etnis asli singapura menguasai melayu cina pendatang penjajah perebut,1
1596,hah dasar cina perhitungan,1
3551,wkwk najis gue memilih oke lihat lihat kali,0
8087,bangun mata sipit,0
3154,sinting nbaca dimana,0
12633,like the game itself is open to everything fck markus ngewe simon instead sure here is the canon in game story orang bikin be iga markus poly serah nbut as bule,1
3570,oh gara beda pendapat langsung pecat ya rejim anti kritik tdk masukan parlemen,0
954,kucingnya sipit,0
6836,mundur jabatan presiden,1
3417,jamilah ih aisyah nya lesbi ioixonemakrab,0
8212,programnya cina menumpuk rakyatnya warganya kirim negara warga negara tsb yg asia tenggara indonesia,0
9634,kl meniru nabi lajur utama onta lajur kiri mobil motor,0
2930,gila manusia bejat lahir bathin maksiat muka syariat2 tuhan rusak dihina duuhhhh gustiiiiiiiiiiiiiiii,0
5004,hasil pencitraan beliau ,1
1972,,0
11100,lihat beda pemahaman islam gus mus ba asyir isi quran,0
372,baju yahudi be opi 4 bas geng jubah putih kopiah minyak atar berjanggut dahi belekok bak ahli syurga ni out of place mohon direjam,0
10826,mengaku kristen hidup bedanya orang orang dunia kabur mencerminkan kemuliaan allah kesaksian kristus harold m freligh,0
5652,ucapan dengar bikin indonesia maju,1
2778,utang bank asing beli saham freepo g bayar utang freepo disita mengecap dibeli salah dibeli salah ap sederhana kebanyakan gaya utang menumpuk mu nambah rakyat bahan pokok murah barang,0
5298,idiom cebong kret sengaja diembuskan oknum kafir memecah belah umat islam indonesia,1
8805,orang cerdas be emu mr kualitas pemimpin visi nya pejabat jalan ibadah  kemaslahatan ummat postingannya ig sholat  zikir bareng mendekatkan sang kholik sptnya ani,0
11819,indonesia tindakan nyata usir dubes myanmar indonesia biksu budha militer membunuh masal genosida etnis rohingnya,1
5997,berharap ekonomi terpengaruh hiruk pikuk politik angka kemiskinan menurun,0
12110,islam pe kali masuk dibarus abad 7 masehi nusantara hindu budha menyebut islam nusantara barus bilang,0
10720,gubernur be emu menteri negeri kerajaan maroko noureddine boutayeb rabat 18 april 2018 pe emuan bilateral membahas berbagi perkembangan ekonomi politik 20,0
1531,suka langung selesaikan bareng mengirim setan suka sembarangan menaruh gelas ginilah pecahkan 3 biji aaarrggghhhh,0
8396,tobat yuk terlambat biar gerombolan jil doakan konsisten bela kekafiran hayat ,1
3735,teman mainku cinta masuk kedalam hati orang cinta sepe i cinta monyet,0
12196,kebut infrastruktur biar dianggap satunya presiden pembangunan maunya ratusan infrastruktur analisa terukur kerja ngawur ekonomi hancur kalo berbicara melantur pas mukidi keliru cebong tidur penista agama akur r,1
10069,sadar bom takjil tempatnya malang facepalm,0
11378,ahok btp basuki tai babi,1
10158,dasar bini suruh beli santan dok melepak kedai mamak brengsek haih amin mandor nih ,1
1206,promosi bani kret,1
5227,apes bangsad,1
5985,gini nih orang memek perek ngapa senang gue bilang emak perek ketemuan yuks,1
3146,bera i makan bareng orang yahudi ya sih kemana singgah makan bawa alat makan sepe inya tau orang yahudi,0
7338,gue teisme agnostik bos gue islam turunan ayahnya but nikah cewek katolik ibunya katolik puasa etc solat why malas ibadah sih paham tuhan ya situ mang male,0
2842,anies sandi dikenang sejarah menang terhormat anies sandi dilantik beres urusannya djarot sibuk,1
9035,performancenya cacat fals sedikitpun tbh panggungnya konsepnya efeknya keren banget woooooii,0
7526,pendapat kena tegak petikan bh pasal isu tarikh pru tu tghh pendapat kecaman federal dana nak boost ekonomi industri ong skrg tranung patut negeri kayak ni nak,0
12912,seandainya jumpa fan hongkong benaran ya jejeritan manja panggil oppa ya sebentar emang ganteng emang dipanggil oppa gitu nada mengenaliku tki korea ya hahaha,0
11161,banser hobi maunya bela kafir sih abu janda muslim,1
9568,madinah negara dipimpin rasulullah dilanjutkan khulafaur rasyidin buktinya rasul mengirimkan surat negara perjanjian negara mengatur ekonomi masyarakat berjihad melawa,0
1686,jujur ai mewakili islam ppp habib saggaf al jufri ketua utama al khairat bersilaturrahmi kediaman beliau menambah keyakinan a semangat berjuang umat bangsa,0
9903,hahahha ketahuan main media sosial dungu dasar kecebong,1
2924,keadilan bersifat universal meretas batasan agama ras keturunan adil islam kristen buddha hindu tiada perbezaan milik agama bangsa,0
5702,haaaaaa iya ya kibuli pakai asing asing,0
1700,budaya yahudi yahudi agama abraham murni seiring jaman murni islam  kristen dgn islam makan babi,0
7058,bilang bawa bawa agama maksudnya memanfaatkan islam mengesingkan kristen,0
437,yailaah giliran ramai ngebela ndulu pas idol mati sedih doang diserbu gila2an nyang sarap ya maap,0
8369,gini ya gue jelasin nkan dikasih dare ganti ava gambar banci ya thread sta er banci nya elah,0
3559,ente sukses bajingan,1
12711,alhamdulillah menyadari cebong pintar lucu beda banget kamfret goblog beringas n wekawekaweka,1
12274,masuknya presiden joko widodo alias jokowi daftar 500 muslim berpengaruh membuktikan jokowi diterima umat muslim tokohmuslimberpengaruh themuslim500,0
1827,bacot ngentod pulsa doang dapet teman biar merantau orang kenal lol,1
7,gue selesai re watch aldnoah zero kret endingnya 2 karakter utama cowoknya kena friendzone bray xd ,0
4206,ntb bangun jalan papua be ahun nsaya bicara faktanya surat pemberitahuan tahunan bualan sih ndi susah mendirikan masjid tp bebas ibadah koramil pos brimob tp orang papua mandi pakai minyak babi bohong bssar,0
11206,band metal main acara akustik pintar sih manggung produktif berak sehelm cebok segelas,0
1254,kh ma ruf berbicara belaga budek belaga pilon menyundul gantipreside,1
10459,udah jateng ganti gubernur sudirman said ida fauziah,0
901,kitab suciku diturunkan allah dianggap fiksi pake belagu segi filaafat eh quranku fiksi quran dasar hukum hukum islam,0
5862,pengakuannya aman n haram hukumnya mengajak perempuan anak medan jihad n berlepas kejadian bom kemarin n yg kemarin orang gila naman afiliasinya isis pembom kemarin isis k,0
3765,klo pengurus ainya penjara dpr mbak ganti ya p,0
472,akun siti fatimah  komen lamannya diringkas aja parah  bejat memalukan bp semoga sehat sabar  semangat suarakan kebenaran,1
5170,eh ketahuan proyek nya cina garap putra putri indonesia kesempatan ,1
7974,pengamat novri susan emil agresif puti woles,0
2038,beda muhammad arab buta huruf mengaku nabi dipercaya sempurna menebarkan kebiadaban bunuh cocok cocok penis,1
9250,setahun ratusan masyarakat adat baduy menyerahkan hasil panen seba seserahan bapa gede bupati lebak gubernur banten sebabaduy2018 dw,0
12988,booming meme kemacetan abadi mungut sim pos ronda idiot versus cerdas mudah dibedakan ,0
3970,menerima kunjungan duta palestina indonesia zuhair saleh muhammad al shun semangat persahabatan ketua pdi perjuangan presiden indonesia megawati sukarnoputri yasser arafat,0
2360,onta ya otak mikir picik,1
9285,baca mas baca sebelah istri kali habis baca langsung eue nhe he,0
9276,lindes mencret,0
3199,manusia manusia tolol takut ahok kasihan banget hidup disana idiot and stupid,1
9730,setuju bahagia senang mpr dpr bubarkan gaji negara dikorupsi rugi,1
8027,pusing gua asw,0
3259,produk negeri dibilang alay produk dibilang hypebeast ironi sih giliran urusan negara bilangnya anti asing,0
11113,wanita wanita goblok keahlian cebong 1 tukang tipu cebong gitu goblok ketulungan plonga plongo mengakibatkan optimisme 2019gantipresiden plongaplongo dun,1
1852,populerb1 8 prabowo jadikan isu rohingya tekan pemerintah  ,1
4529,bersanding kubu ketar ketir hayoo nasi bungkus ketar ketir pasukan 212,0
11124,melestarikn salah geopark dunia,0
777,ketua dpr dorong inspirasi kreatif pemerintah sesuai budaya pancasila,0
6775,titit tititnya tamasya tai ah,0
8797,bom bunuh teroris pembunuh mengakui jihad didukung antek teroris membela,0
2123,mengakui cinta budaya negeri ikutan oharakita,0
11687,terlahir keluarga muslim memilih jalan ku kristiani karna pacar lingkungan no no no njauh pacaran te arik belajar kristen faktor pengyakin aja,0
12728,duduk sing aziz rabbah menteri energi pe ambangan perminyakan kerajaan maroko diskusi substantif berjejaring mencari peluang kerja muncul konferensi,0
5113,temen hamil nikah suaminya adik kelas gue d o pas gue lulus wisuda orang tua murid berasa perut melendung gendut sempet dibecandai hamil eh taunya beneran skrg lahiran  ya,0
9897,gak bantah photo membuktikan komunikasi menyambung 2 pemimpin,0
912,nggak aneh om buang sah tempatnya tenggelamkan tempatnya aneh ditenggelamkan didarat,0
11345,dibantai buddha teroris rohingya manusia,1
5083,islam katolik nnikahannya budha,0
8235,msnakdnskdnskdndjfn muito bom,0
1110,dengar laut banda te utup peneliti asing regulasinya penelitian laut banda leader nya peneliti indonesia kapal riset indonesia menye peneliti asing,0
6812,alquran petunjuk orang orang muttaqien memaki maki orang orang ingkar kafir musyrik,0
13167,bom real mudah terdeteksi bom terkubur dahsyat ledakannya revolusi jiwa,0
5476,ayo secepatnya revolusi lengserkan jokowi negeri azab alloh swt penegak hukum presidennya batas,1
1195,edan 3 14 t,0
2731,a aduh min ntua ya nb lihat deh kulit becky 30an nmenjelang 40 na gue be anya kulit ngua becky bego,1
8688,2019 boomerang mulut,1
6617,berani bilang isu saracen digoreng serang lawan lawan jokowi,1
8150,maju anjing nih orang tshi beli hajsjjssjhs,1
11409,waakaakaak ni orang pendukung yahudi dipikiran negara israel waakaakaak,1
8410,ayo mas udab becek nih memek,0
11758,orang dikasih cobaan berhubung orang brengsek,0
8842,polisi pengadilan menegakkan hukum didukung rakyat jokowi bikin rakyat resah lengserkan,1
5951,5 tantangan dihadapi kuchat,0
11663,langsung ngaceng harap retweet ,0
5405,kayaknya sih abu janda eo acara deklarasi ulama muda kemaren sih faizal assegaf be indak eo nya aksi aktivis 98 palsunya besok2 deklarasi lgbt deklarasi cebong dukung mukidi dst pd kenyang,1
12851,ketua pkb muhaimin iskandar alias cak imin menyoroti kondisi laut jaka a kotor respons wakil gubernur dki jaka a sandiaga uno jokowicakimin2019,0
5380,wkwk dihapus twitnya uda te awa kencang seisi kantor bingung yg menonton film babi hahahahahaha,0
6725,pekerjaan bani tlembuk stres akibat jagonya nyungsep jabar jateng jatim,1
10967,protes presiden kayak,0
8237,memanas terima korban jonru ginting netizen protes korban jokowi,1
11076,menteri anggota dpr ingkar rapat potong tunjangan gajinya,0
5355,untung teman gue kus cari budget makan sepuluh ribu warung langganan n1 warung sd 4 nasi ayam saus padang plus es teh 9500 n2 cur sari 10kk nsekalinya boros semester pas kakak,0
8512,,0
7236,saracen kejahatan direncanakan mendagri membatalkan kemenangan pasangan anies sandi jasa saracen,1
6428,semoga dsnajib lindungi allah kejahatan kaum kaum kafir munafik memusuhinya amin ya robbie,1
3145,membohongi rakyat harga mahal dibayar menghadapi korupsi solo dki layak presiden ri 2019gantipresiden,1
790,presiden joko widodo memutuskan realisitis mengejar pembangunan proyek strategis nasional psn,0
5344,lae komen adminnya ai studi be anya tau ekonomi makro ya kalo negara gang mencetak uang nilai mata uangnya turun mata uang diperlakukan sepe i komoditi diperjualbelikan,0
1600,segar ingatan rakyat janji jokowi beli pt indosat dijual megawati presiden jual bumn,1
13066,misi1 membangun manusia jawa barat memuliakan agama sehat unggul no3jabarasyik asyikm3nang,0
6089,ormas radikal fpi fui hti hrs dibubari klu radikal anti bhineka anti cina kristen disadarkan usir suriah suruh gabung isis,1
9988,grace menguap lebar mata sipitnya sipit hoam iya kak pulang ya kak ngantuk,0
3119,bubarkan pansus kpk kalo poling rakyat parlemen biar menentukan bubarkan pansus kpk ,1
12482,sipit memaki gua,0
1583,suka video,0
9524,presiden joko widodo sistem perizinan berusaha terintegrasi online online single rakyatb3rsamajkw,0
7283,mari lawan hancurkan rezim koplaks jongos cina komunis,1
3409,nggak butuh presiden takut miskin a hilang kuasa tahta,0
5693,bbeuh beda kelas,0
1048,sanggup nangkep yg presiden petugas ai junjunan mangkrak ya jinjingan bloon,1
2335,babi haram babu halal ulah muhammad bejad mencatut nama tuhan,1
6433,tau fiksi berkat penjelasan rocky sreg kitab suci fiksi kitab suci al qur an jd tau pandangan ulama rocky,0
8579,cinta buta biarkan memilih salah,0
5424,slim yuk coli malam minggu kontol gay bahancoli ,0
9750,hantu kak limah 2  munafik 2 hmm,0
7183,pelajaran efek jera biar otak  mulutnya orang orang mengakui pinter,0
11311,pengen ngentot,0
7445,emang setan bikin penasaran hahaha,0
11592,8 ketemu matematika hi gue goblok banget gitu,0
4292,ciri ciri mental pengemis nkri pura pura belaga miskin sepe i pengemis jalanan pura pura cacat rumahnya gendong mobil kayak a,0
5558,mengaku presiden indonesia pembela penjajah cina,1
11677,kau lihat sby didemo ga ditangkap jokowi diktatornya keliatan ditangkap,1
152,kabinet berantakan npemecah belah persatuan rezim,1
8883,kau tolak kader pa ai keadilan sejahtera ya bro segitunya bacot nyinyir woles bro broken hea bera i broken hope ntr tunggu 2019gantipresiden patah hati massal barengan cebong sekolam,1
6455,pepaya makan buaya,0
7903,budaya sunda bikin mahasiswa asing jatuh cinta koran tradisi seni adat budaya,0
12425,cebong ber iq200 sekolam bedakan fakta provokasi bedakan fakta fitnah,1
7556,ujaran kebencian perangkat digital zaman sby sby mengklarifikasi info sesat skrg main tangkap,1
1743,dimana sistem pemilihan langsung incumbent diuntungkan jabatan presiden dibatasi kalo 32 dipimpin presiden,0
1598,ya sepe i tgb membantu menyadarkan kaum bani cabul bani kret mempermainkan ayat ayat suci demo,1
9140,keling kalinga from merong mahawangsa kedah annals abt raja mahawangsa raja maha vamsam tamil raja fm great race pergi back 2 berempat sepuluh century ad the pe ama 9 sultans of kedah had indian tamil hindu buddhist thai malay links d sembilan conve ed 2,0
11088,sodakoh garap imbalan wkwk otak ganti presiden somplak,1
10322,dr kemarin terbahak lihat kebodohan km panas gmn sdh bilang orang ulang dungu cebong x,1
8858,kalo kristen nusantara khatolik nusantara orang katolik contoh kristen batak kristen jawa kristen sunda dll khatolik daerah gereja,0
1108,mari ngewe,0
13130,ruhut sitompul prabowo omdo ,1
3815,golongan muda zaman rejim mahathir 15,0
590,ga salah  bilang antek aseng adiknya prabowo bilang prabowo pro amerika ,1
9349,lengserkan jokowi mempermainkan hukum,1
9665,maksudnya terbukti korupsi penistaan agama nya ya om bangsat lo taik lo maaf gue pakai bahasa babi ahok,1
963,diktator jokowi jongos organisasi jagal manusia nu mengatur siasat kanye,1
2911,ekonomi dipegang gerindra hancur negara masak menyarankan cetak uang bayar hutang hutang lg mengutangi negara bisa2nya bilang biaya produksi cetak uang murah ekonomi comberan kecoa,0
9050,viral ngocokin kontol om security diemut download streaming videonya kualitas hd biar puas link gt http,0
811,setahu prambanan candi hindu kelompok candi dieng candi ungaran gedong sanga dll borobudur candi buddha kelompok sewu kalasan mendut dll,0
6150,cinta memandang kesempurnaan fisik memandang hati cinta buta,0
6540,gus ipul mbak puti berkomitmen meningkatkan perhatian kaum anak gusipulputi2,0
10455,bagus bagus banget kayak lihat sejarah sisi sih nsama novel leila chudori pulang juara banget eksil pa ai komunis indonesia deh,0
11989,rezim represif anti islam,1
6750,menjelang pilkada anggota polsek tegalrejo polres magelang sambang dds tokoh agama a,0
6964,emang referensi ustaz ustaz bermutu ya nmasa ustaz nya kalangan kalian2 ncoba referensi nya ustaz syafiq riza ustaz bachtiar nasir ustaz tengku zulkarnain kakak gym nkalau k,0
7547,sih ahok pantasnya dinobatkan babi mengeprek,1
701,cina non muslim dibantai tuh sih cina usir,1
8258,gimana viktor beragama kristen mengancam bunuh orang islam,1
908,the lie tju lie tju seroja the lie tju seroja siswi sd katolik karya yosef 1978 1983 istrinya ronaldo pardede the lie tju syiah oi deh gizi oi deh rode ronaldo pardede qizi,0
12300,aduuhh kasihan lihat argumenmu asep nkalau lihat langsung arab minimal baca negara arab surat pemberitahuan tahunan disana nnegara2 arab kerja cina bilang komunis nmiris aaah,0
6075,,1
919,ga ngapain komen tolol,1
4933,ya allah limpahkanlah ketakwaan jiwaku sucikanlah engkau dzat mensucikan jiwaku hr muslim,0
11539,eh nurul kuliah dimana jurusan ha bahasa mandarin bera i kerja komunis bersaudara g30spki,0
11149,indonesia diboikot banknya iran negara islam terima uang cina ,1
12421,profil sdn 1 tikep 1998 1999 sdn 9 tikep 1999 2004 smpn 1 tikep 2004 2007 sman 1 tikep 2007 2010 antropologi 2010 2015 fakultas ilmu budaya universitas halu oleo kota kendari,0
12064,belisahambrisyariah uym iya bilang kwn pe ama ya aja pintu masuk beli saham brisyariah berjamaahnya bocor historis ga bocor sejarah bocor stasiun,0
6876,nrp bacot banget,1
6085,antum menyindir antum cek kader isteri nya gila ya kader masuk bab pembahasan isteri,0
6930,barisan anti antek aseng koar koar kenyataan aksi berbicara kuat 2019tetapjokowi,0
9614,bani cebong girang,1
6478,heechul orang pe terpukul hangeng memutuskan kontraknya sm ent cina,0
7446,gue sekelompok be ujuh gue fakultas ekonomi gue non muslim gue pergi mengabdi kabupaten sukabumi kaki gunung pangrango gue cek gereja katolik terdekat 45 menit desa gue,0
11490,sungguh cerdas brilian congor nih menteri,1
3781,ceramah ustad tai onta,1
13098,ah tai ki besok diperpanjang kali ya busuk banget jkt ngerasain 200kbps gua ana mengeluh mulu,0
3968,ya bodo,1
1926,kitab suci nya nggak singgung kitab ayat suciku definisi meng aktifkan imajinasi i don t care kitab suci ku berbeda bagiku a,1
8480,halah lu mah bacot asu lu antek antekny si side accny alah anjing,1
9560,tomohon pusat pembelajaran agama kristen katolik khusus berdoa meditasi bukit kasih suci indah tenang tomohoninternationalflowerfestival,0
5093,gua kabur nak gue spesifik task masuk cur bajingan,1
288,,1
6218,ngaku wa awan kosakata gembel,1
9400,hahahaha bom komen weyh,0
12502,politikus gila jabatan  a bilang jkw antek asing a pa ai politik gurem cari pendukung pd pemilihan presiden 2019 kehabisan wacana berpolitik b s program pembangunan nkri ujungnya jual kebencian hoa an agama a ge,0
3853,banyakin bersyukur aja syukuran dikasih cacat naku insecure hasilnya minder lihat cantik kesal,0
3760,yeee bercita cita gadun kak ben sompret nya minimal bawa alat v l rank nanya,1
